N4,季,節,春,夏,秋,冬,暑,寒,暖,涼
SEASON,"Seasons,き,-","Season,せつ,ふし","Spring,しゅん,はる","Summer,げ,なつ","Autumn,-,あき","Winter,とう,ふゆ","Hot,しょ,あつ","Cold,かん,さむ","Warm,だん,あたた","Cool,りょう,すず"
N4,体,頭,顔,首,心,声,病,薬,科,内
BODY,"Body,たい,からだ","Head,ず,あたま","Face,がん,かお","Neck,しゅ,くび","Heart,しん,こころ","Voice,せい,こえ","Sick,びょう,や","Medicine,やく,くすり","Course(of study),か,-","Within,ない,うち"
N4,朝,昼,夜,夕,方,晚,計,曜,以,度
TIME,"Morning,ちょう,あさ","Noon,ちゅう,ひる","Night,や,よ","Evening,せき,ゆう","Direction,ほう,かた","night,ばん,-","Measure,けい,はか","Weekday,よう,-","From,since,い,-","Occurrence,ど,たび"
N4,止,歩,走,起,持,待,借,貸,始,終
VERB 1,"Stop,し,と","Walk,ほ,ある","Run,そう,はし","Wake Up,き,お","Hold,じ,も","Wait,たい,ま","Borrow,しゃく,か","Lend,たい,か","Begin,し,はじ","End,しゅう,おわ"
N4,家,族,私,自,親,両,兄,弟,姉,妹
FAMILY,"House,か,いえ","Family,ぞく,-","I,し,わたし","Self,じ,-","Parent,しん,おや","Both,りょう,-","Older Brother,きょう,あに","Younger Brother,だい,おとうと","Older Sister,し,お","Younger Sister,まい,いもうと"
N4,活,回,主,色,形,品,民,服,犬,同
EVERYDAY LIFE,"Lively,かつ,い","Times,かい,まわ","Main,しゅ,おも","Color,しき,いろ","Form, Shape,けい,かた","Product,ひん,しな","People,みん,たみ","Clothes,ふく,-","Dog,けん,いぬ","Same,どう,おな"
N4,米,料,理,肉,鳥,野,菜,茶,飯,味
FOOD,"Rice,べい,こめ","Fee,りょう,-","Reason,り,ことわり","Meat,にく,-","Bird,ちょう,とり","Field,や,の","Vegetable,さい,な","Tea,ちゃ,-","Meal,はん,めし","Taste, Flavor,み,あじ"
N4,代,使,作,化,信,進,送,返,洗,注
RADICAL,"Substitute,だい,か","Use,し,つか","Make,さく,つく","Change,か,ば","Trust,しん,-","Advance,しん,すす","Send,そう,おく","Return,へん,かえ","Wash,せん,あら","Pour,ちゅう,そそ"
N4,場,建,物,院,館,堂,室,工,図,号
PLACE,"Location,じょう,ば","Build,けん,た","Thing,ぶつ,もの","Institution,いん,-","Public Building,かん,-","Hall,どう,-","Room,しつ,-","Construction,こう,-","Diagram,ず,え","Number,ごう,-"
N4,交,通,動,乗,降,運,転,帰,発,着
TRAFFIC,"Change,こう,まじ","Pass Through,つう,とお","Move,どう,うご","Ride,じょう,の","Descend,こう,お","Carry,うん,はこ","Revolve,てん,ころ","Return,き,かえ","Departure,はつ,-","Wear, arrive,ちゃく,き"
N4,漢,字,文,教,勉,習,英,考,研,究
SCHOOL 1,"Chinese,かん,-","Letter,じ,-","Writing,ぶん,-","Teach,きょう,おし","Exertion,べん,-","Learn,しゅう,なら","English,えい,-","Consider,こう,かんが","Sharpen,けん,と","Research,きゅう,きわ"
N4,問,題,試,験,質,合,答,用,紙,意
SCHOOL 2,"Problem,もん,と","Topic,だい,-","Trial,し,こころ","Test,けん,ため","Quality,しつ,-","Fit,ごう,あ","Answer,とう,こた","Task,よう,もち","Paper,し,かみ","Idea,い,-"
N4,引,開,閉,去,死,集,知,売,説,思
VERB 2,"Pull,いん,ひ","Open,かい,あ","Close,へい,し","Past,きょ,さ","Death,し,し","Collect,しゅう,あつ","Know,ち,し","Sell,ばい,う","Theory,せつ,と","Thought,し,おも"
